15,15,2,2,0,0,unacc
15,15,2,2,0,5,unacc
15,15,2,2,0,10,unacc
15,15,2,2,5,0,unacc
15,15,2,2,5,5,unacc
15,15,2,2,5,10,unacc
15,15,2,2,10,0,unacc
15,15,2,2,10,5,unacc
15,15,2,2,10,10,unacc
15,15,2,4,0,0,unacc
15,15,2,4,0,5,unacc
15,15,2,4,0,10,unacc
15,15,2,4,5,0,unacc
15,15,2,4,5,5,unacc
15,15,2,4,5,10,unacc
15,15,2,4,10,0,unacc
15,15,2,4,10,5,unacc
15,15,2,4,10,10,unacc
15,15,2,5,0,0,unacc
15,15,2,5,0,5,unacc
15,15,2,5,0,10,unacc
15,15,2,5,5,0,unacc
15,15,2,5,5,5,unacc
15,15,2,5,5,10,unacc
15,15,2,5,10,0,unacc
15,15,2,5,10,5,unacc
15,15,2,5,10,10,unacc
15,15,3,2,0,0,unacc
15,15,3,2,0,5,unacc
15,15,3,2,0,10,unacc
15,15,3,2,5,0,unacc
15,15,3,2,5,5,unacc
15,15,3,2,5,10,unacc
15,15,3,2,10,0,unacc
15,15,3,2,10,5,unacc
15,15,3,2,10,10,unacc
15,15,3,4,0,0,unacc
15,15,3,4,0,5,unacc
15,15,3,4,0,10,unacc
15,15,3,4,5,0,unacc
15,15,3,4,5,5,unacc
15,15,3,4,5,10,unacc
15,15,3,4,10,0,unacc
15,15,3,4,10,5,unacc
15,15,3,4,10,10,unacc
15,15,3,5,0,0,unacc
15,15,3,5,0,5,unacc
15,15,3,5,0,10,unacc
15,15,3,5,5,0,unacc
15,15,3,5,5,5,unacc
15,15,3,5,5,10,unacc
15,15,3,5,10,0,unacc
15,15,3,5,10,5,unacc
15,15,3,5,10,10,unacc
15,15,4,2,0,0,unacc
15,15,4,2,0,5,unacc
15,15,4,2,0,10,unacc
15,15,4,2,5,0,unacc
15,15,4,2,5,5,unacc
15,15,4,2,5,10,unacc
15,15,4,2,10,0,unacc
15,15,4,2,10,5,unacc
15,15,4,2,10,10,unacc
15,15,4,4,0,0,unacc
15,15,4,4,0,5,unacc
15,15,4,4,0,10,unacc
